video_id,video_path,file_name,environment,band,view,duration,fps,resolution,aspect_ratio,file_size_mb,noise_level,pose_path,num_frames_pose,pose_dim
1,Public Test_\Ngoài trời - Outdoor\Band 1-2\Backside-8897-2.mov,Backside-8897-2.mov,Ngoài trời - Outdoor,band_1-2,backview,7.433333333333334,30.0,"(720, 1280)",0.56,9.32,1001.4699011289413,dataset_pose\Ngoài trời - Outdoor\band_1_2\1.npy,223,"(223, 33, 4)"
2,Public Test_\Ngoài trời - Outdoor\Band 1-2\Backside-8900-11.mov,Backside-8900-11.mov,Ngoài trời - Outdoor,band_1-2,backview,7.1,30.0,"(720, 1280)",0.56,9.38,884.5848608954627,dataset_pose\Ngoài trời - Outdoor\band_1_2\2.npy,213,"(213, 33, 4)"
3,Public Test_\Ngoài trời - Outdoor\Band 1-2\Side-6088-2.mov,Side-6088-2.mov,Ngoài trời - Outdoor,band_1-2,side,6.333333333333333,30.0,"(720, 1280)",0.56,7.08,1113.8828732220613,dataset_pose\Ngoài trời - Outdoor\band_1_2\3.npy,190,"(190, 33, 4)"
4,Public Test_\Ngoài trời - Outdoor\Band 1-2\Side-6089-1.mov,Side-6089-1.mov,Ngoài trời - Outdoor,band_1-2,side,7.466666666666667,30.0,"(720, 1280)",0.56,10.25,1877.8453288596447,dataset_pose\Ngoài trời - Outdoor\band_1_2\4.npy,224,"(224, 33, 4)"
5,Public Test_\Ngoài trời - Outdoor\Band 2-4\Backside-8900-8.mov,Backside-8900-8.mov,Ngoài trời - Outdoor,band_2-4,backview,7.733333333333333,30.0,"(720, 1280)",0.56,10.16,889.4703218082292,dataset_pose\Ngoài trời - Outdoor\band_2_4\5.npy,232,"(232, 33, 4)"
6,Public Test_\Ngoài trời - Outdoor\Band 2-4\Backside-8900-9.mov,Backside-8900-9.mov,Ngoài trời - Outdoor,band_2-4,backview,7.5,30.0,"(720, 1280)",0.56,9.81,882.5224586462266,dataset_pose\Ngoài trời - Outdoor\band_2_4\6.npy,225,"(225, 33, 4)"
7,Public Test_\Ngoài trời - Outdoor\Band 2-4\Side-6086-8.mov,Side-6086-8.mov,Ngoài trời - Outdoor,band_2-4,side,6.9,30.0,"(720, 1280)",0.56,8.29,1375.6293050249694,dataset_pose\Ngoài trời - Outdoor\band_2_4\7.npy,207,"(207, 33, 4)"
8,Public Test_\Ngoài trời - Outdoor\Band 2-4\Side-6086-9.mov,Side-6086-9.mov,Ngoài trời - Outdoor,band_2-4,side,5.566666666666666,30.0,"(720, 1280)",0.56,6.94,1262.3018969302095,dataset_pose\Ngoài trời - Outdoor\band_2_4\8.npy,167,"(167, 33, 4)"
9,Public Test_\Ngoài trời - Outdoor\Band 4-6\Backside-8896-22.mov,Backside-8896-22.mov,Ngoài trời - Outdoor,band_4-6,backview,7.266666666666667,30.0,"(720, 1280)",0.56,9.66,753.700592425943,dataset_pose\Ngoài trời - Outdoor\band_4_6\9.npy,218,"(218, 33, 4)"
10,Public Test_\Ngoài trời - Outdoor\Band 4-6\Backside-8896-23.mov,Backside-8896-23.mov,Ngoài trời - Outdoor,band_4-6,backview,7.166666666666667,30.0,"(720, 1280)",0.56,8.75,1174.0897795156013,dataset_pose\Ngoài trời - Outdoor\band_4_6\10.npy,215,"(215, 33, 4)"
11,Public Test_\Ngoài trời - Outdoor\Band 4-6\Backside-8900-3.mov,Backside-8900-3.mov,Ngoài trời - Outdoor,band_4-6,backview,7.166666666666667,30.0,"(720, 1280)",0.56,9.06,747.4717683593614,dataset_pose\Ngoài trời - Outdoor\band_4_6\11.npy,215,"(215, 33, 4)"
12,Public Test_\Ngoài trời - Outdoor\Band 4-6\Side-6086-1.mov,Side-6086-1.mov,Ngoài trời - Outdoor,band_4-6,side,7.0,30.0,"(720, 1280)",0.56,10.08,1856.636633019693,dataset_pose\Ngoài trời - Outdoor\band_4_6\12.npy,210,"(210, 33, 4)"
13,Public Test_\Ngoài trời - Outdoor\Band 4-6\Side-6086-4.mov,Side-6086-4.mov,Ngoài trời - Outdoor,band_4-6,side,7.5,30.0,"(720, 1280)",0.56,10.15,1713.8468910345994,dataset_pose\Ngoài trời - Outdoor\band_4_6\13.npy,225,"(225, 33, 4)"
14,Public Test_\Ngoài trời - Outdoor\Band 4-6\Side-6086-5.mov,Side-6086-5.mov,Ngoài trời - Outdoor,band_4-6,side,6.966666666666667,30.0,"(720, 1280)",0.56,8.44,1340.1254368116292,dataset_pose\Ngoài trời - Outdoor\band_4_6\14.npy,209,"(209, 33, 4)"
15,Public Test_\Ngoài trời - Outdoor\Band 6-8\Backside-8895-16.mov,Backside-8895-16.mov,Ngoài trời - Outdoor,band_6-8,backview,7.6,30.0,"(720, 1280)",0.56,10.66,1915.0596155966352,dataset_pose\Ngoài trời - Outdoor\band_6_8\15.npy,227,"(227, 33, 4)"
16,Public Test_\Ngoài trời - Outdoor\Band 6-8\Backside-8896-14.mov,Backside-8896-14.mov,Ngoài trời - Outdoor,band_6-8,backview,7.466666666666667,30.0,"(720, 1280)",0.56,10.97,1206.316281640933,dataset_pose\Ngoài trời - Outdoor\band_6_8\16.npy,224,"(224, 33, 4)"
17,Public Test_\Ngoài trời - Outdoor\Band 6-8\Backside-8896-9.mov,Backside-8896-9.mov,Ngoài trời - Outdoor,band_6-8,backview,6.2,30.0,"(720, 1280)",0.56,8.45,870.72409060717,dataset_pose\Ngoài trời - Outdoor\band_6_8\17.npy,186,"(186, 33, 4)"
18,Public Test_\Ngoài trời - Outdoor\Band 6-8\Side-6084-18.mov,Side-6084-18.mov,Ngoài trời - Outdoor,band_6-8,side,7.833333333333333,30.0,"(720, 1280)",0.56,9.6,1535.6667226984605,dataset_pose\Ngoài trời - Outdoor\band_6_8\18.npy,235,"(235, 33, 4)"
19,Public Test_\Ngoài trời - Outdoor\Band 6-8\Side-6085-10.mov,Side-6085-10.mov,Ngoài trời - Outdoor,band_6-8,side,8.533333333333333,30.0,"(720, 1280)",0.56,10.55,1677.4676328262426,dataset_pose\Ngoài trời - Outdoor\band_6_8\19.npy,256,"(256, 33, 4)"
20,Public Test_\Ngoài trời - Outdoor\Band 6-8\Side-6085-15.mov,Side-6085-15.mov,Ngoài trời - Outdoor,band_6-8,side,7.0,30.0,"(720, 1280)",0.56,7.8,1459.7435867949143,dataset_pose\Ngoài trời - Outdoor\band_6_8\20.npy,210,"(210, 33, 4)"
21,Public Test_\Ngoài trời - Outdoor\Band 8-10\Backside-8895-5.mov,Backside-8895-5.mov,Ngoài trời - Outdoor,band_8-10,backview,8.233333333333333,30.0,"(720, 1280)",0.56,11.45,2019.5356204527077,dataset_pose\Ngoài trời - Outdoor\band_8_10\21.npy,247,"(247, 33, 4)"
22,Public Test_\Ngoài trời - Outdoor\Band 8-10\Backside-8896-8.mov,Backside-8896-8.mov,Ngoài trời - Outdoor,band_8-10,backview,7.2,30.0,"(720, 1280)",0.56,9.3,955.4846362784778,dataset_pose\Ngoài trời - Outdoor\band_8_10\22.npy,216,"(216, 33, 4)"
23,Public Test_\Ngoài trời - Outdoor\Band 8-10\Side-6084-3.mov,Side-6084-3.mov,Ngoài trời - Outdoor,band_8-10,side,8.633333333333333,30.0,"(720, 1280)",0.56,9.78,1217.8582643120428,dataset_pose\Ngoài trời - Outdoor\band_8_10\23.npy,259,"(259, 33, 4)"
24,Public Test_\Ngoài trời - Outdoor\Band 8-10\Side-6085-5.mov,Side-6085-5.mov,Ngoài trời - Outdoor,band_8-10,side,7.4,30.0,"(720, 1280)",0.56,6.67,485.5752427688034,dataset_pose\Ngoài trời - Outdoor\band_8_10\24.npy,222,"(222, 33, 4)"
25,Public Test_\Trong nhà - Indoor\Band 1-2\Backside-8767-14.mov,Backside-8767-14.mov,Trong nhà - Indoor,band_1-2,backview,10.833333333333334,30.0,"(720, 1280)",0.56,9.32,28.655735216932765,dataset_pose\Trong nhà - Indoor\band_1_2\25.npy,324,"(324, 33, 4)"
26,Public Test_\Trong nhà - Indoor\Band 1-2\Backside-8767-16.mov,Backside-8767-16.mov,Trong nhà - Indoor,band_1-2,backview,10.366666666666667,30.0,"(720, 1280)",0.56,8.8,32.24633933117619,dataset_pose\Trong nhà - Indoor\band_1_2\26.npy,311,"(311, 33, 4)"
27,Public Test_\Trong nhà - Indoor\Band 1-2\Backside-8767-17.mov,Backside-8767-17.mov,Trong nhà - Indoor,band_1-2,backview,10.2,30.0,"(720, 1280)",0.56,8.62,32.97009467751103,dataset_pose\Trong nhà - Indoor\band_1_2\27.npy,306,"(306, 33, 4)"
28,Public Test_\Trong nhà - Indoor\Band 1-2\Side-6020-15.mov,Side-6020-15.mov,Trong nhà - Indoor,band_1-2,side,8.0,30.0,"(720, 1280)",0.56,11.66,52.417565723258065,dataset_pose\Trong nhà - Indoor\band_1_2\28.npy,239,"(239, 33, 4)"
29,Public Test_\Trong nhà - Indoor\Band 1-2\Side-6020-7.mov,Side-6020-7.mov,Trong nhà - Indoor,band_1-2,side,11.4,30.0,"(720, 1280)",0.56,16.74,45.48837022219134,dataset_pose\Trong nhà - Indoor\band_1_2\29.npy,342,"(342, 33, 4)"
30,Public Test_\Trong nhà - Indoor\Band 1-2\Side-6020-9.mov,Side-6020-9.mov,Trong nhà - Indoor,band_1-2,side,8.033333333333333,30.0,"(720, 1280)",0.56,12.33,60.38155219555473,dataset_pose\Trong nhà - Indoor\band_1_2\30.npy,241,"(241, 33, 4)"
31,Public Test_\Trong nhà - Indoor\Band 2-4\Backside-8767-2.mov,Backside-8767-2.mov,Trong nhà - Indoor,band_2-4,backview,9.333333333333334,30.0,"(720, 1280)",0.56,7.99,31.46550842861104,dataset_pose\Trong nhà - Indoor\band_2_4\31.npy,280,"(280, 33, 4)"
32,Public Test_\Trong nhà - Indoor\Band 2-4\Backside-8767-3.mov,Backside-8767-3.mov,Trong nhà - Indoor,band_2-4,backview,8.566666666666666,30.0,"(720, 1280)",0.56,7.45,33.707751172546565,dataset_pose\Trong nhà - Indoor\band_2_4\32.npy,257,"(257, 33, 4)"
33,Public Test_\Trong nhà - Indoor\Band 2-4\Side-6020-2.mov,Side-6020-2.mov,Trong nhà - Indoor,band_2-4,side,9.433333333333334,30.0,"(720, 1280)",0.56,13.24,51.8723350915648,dataset_pose\Trong nhà - Indoor\band_2_4\33.npy,282,"(282, 33, 4)"
34,Public Test_\Trong nhà - Indoor\Band 2-4\Side-6020-3.mov,Side-6020-3.mov,Trong nhà - Indoor,band_2-4,side,8.2,30.0,"(720, 1280)",0.56,12.15,51.25117499871559,dataset_pose\Trong nhà - Indoor\band_2_4\34.npy,246,"(246, 33, 4)"
35,Public Test_\Trong nhà - Indoor\Band 4-6\Backside-8767-4.mov,Backside-8767-4.mov,Trong nhà - Indoor,band_4-6,backview,9.6,30.0,"(720, 1280)",0.56,7.85,32.81384863491464,dataset_pose\Trong nhà - Indoor\band_4_6\35.npy,288,"(288, 33, 4)"
36,Public Test_\Trong nhà - Indoor\Band 4-6\Backside-8767-5.mov,Backside-8767-5.mov,Trong nhà - Indoor,band_4-6,backview,9.7,30.0,"(720, 1280)",0.56,8.25,33.41161052885161,dataset_pose\Trong nhà - Indoor\band_4_6\36.npy,291,"(291, 33, 4)"
37,Public Test_\Trong nhà - Indoor\Band 4-6\Backside-8767-6.mov,Backside-8767-6.mov,Trong nhà - Indoor,band_4-6,backview,10.966666666666667,30.0,"(720, 1280)",0.56,10.83,44.1229371315796,dataset_pose\Trong nhà - Indoor\band_4_6\37.npy,329,"(329, 33, 4)"
38,Public Test_\Trong nhà - Indoor\Band 4-6\Side-6016-18.mov,Side-6016-18.mov,Trong nhà - Indoor,band_4-6,side,6.633333333333334,30.0,"(720, 1280)",0.56,10.53,73.06989970128737,dataset_pose\Trong nhà - Indoor\band_4_6\38.npy,199,"(199, 33, 4)"
39,Public Test_\Trong nhà - Indoor\Band 4-6\Side-6020-6.mov,Side-6020-6.mov,Trong nhà - Indoor,band_4-6,side,7.2,30.0,"(720, 1280)",0.56,10.92,51.25983682413018,dataset_pose\Trong nhà - Indoor\band_4_6\39.npy,216,"(216, 33, 4)"
40,Public Test_\Trong nhà - Indoor\Band 4-6\Side-6020-8.mov,Side-6020-8.mov,Trong nhà - Indoor,band_4-6,side,7.233333333333333,30.0,"(720, 1280)",0.56,10.36,53.17646351965551,dataset_pose\Trong nhà - Indoor\band_4_6\40.npy,217,"(217, 33, 4)"
41,Public Test_\Trong nhà - Indoor\Band 6-8\Backside-8751-3.mov,Backside-8751-3.mov,Trong nhà - Indoor,band_6-8,backview,7.366666666666666,30.0,"(720, 1280)",0.56,9.75,58.42147470088058,dataset_pose\Trong nhà - Indoor\band_6_8\41.npy,221,"(221, 33, 4)"
42,Public Test_\Trong nhà - Indoor\Band 6-8\Backside-8751-5.mov,Backside-8751-5.mov,Trong nhà - Indoor,band_6-8,backview,7.4,30.0,"(720, 1280)",0.56,9.94,59.97476485406052,dataset_pose\Trong nhà - Indoor\band_6_8\42.npy,222,"(222, 33, 4)"
43,Public Test_\Trong nhà - Indoor\Band 6-8\Backside-8751-6.mov,Backside-8751-6.mov,Trong nhà - Indoor,band_6-8,backview,6.766666666666667,30.0,"(720, 1280)",0.56,9.0,54.62813989891489,dataset_pose\Trong nhà - Indoor\band_6_8\43.npy,203,"(203, 33, 4)"
44,Public Test_\Trong nhà - Indoor\Band 6-8\Side-6016-4.mov,Side-6016-4.mov,Trong nhà - Indoor,band_6-8,side,8.966666666666667,30.0,"(720, 1280)",0.56,13.88,64.93264579955871,dataset_pose\Trong nhà - Indoor\band_6_8\44.npy,269,"(269, 33, 4)"
45,Public Test_\Trong nhà - Indoor\Band 6-8\Side-6016-5.mov,Side-6016-5.mov,Trong nhà - Indoor,band_6-8,side,7.966666666666667,30.0,"(720, 1280)",0.56,12.04,72.98837718247997,dataset_pose\Trong nhà - Indoor\band_6_8\45.npy,239,"(239, 33, 4)"
46,Public Test_\Trong nhà - Indoor\Band 6-8\Side-6016-6.mov,Side-6016-6.mov,Trong nhà - Indoor,band_6-8,side,7.4,30.0,"(720, 1280)",0.56,10.85,64.12186997804982,dataset_pose\Trong nhà - Indoor\band_6_8\46.npy,222,"(222, 33, 4)"
47,Public Test_\Trong nhà - Indoor\Band 8-10\Backside-8748-3.mov,Backside-8748-3.mov,Trong nhà - Indoor,band_8-10,backview,7.4,30.0,"(720, 1280)",0.56,7.89,23.442193308885066,dataset_pose\Trong nhà - Indoor\band_8_10\47.npy,222,"(222, 33, 4)"
48,Public Test_\Trong nhà - Indoor\Band 8-10\Backside-8748-5.mov,Backside-8748-5.mov,Trong nhà - Indoor,band_8-10,backview,7.866666666666666,30.0,"(720, 1280)",0.56,7.31,28.726362945510665,dataset_pose\Trong nhà - Indoor\band_8_10\48.npy,236,"(236, 33, 4)"
49,Public Test_\Trong nhà - Indoor\Band 8-10\Side-5999-1.mov,Side-5999-1.mov,Trong nhà - Indoor,band_8-10,side,7.4,30.0,"(720, 1280)",0.56,11.72,60.94538037661304,dataset_pose\Trong nhà - Indoor\band_8_10\49.npy,222,"(222, 33, 4)"
50,Public Test_\Trong nhà - Indoor\Band 8-10\Side-6007-1.mov,Side-6007-1.mov,Trong nhà - Indoor,band_8-10,side,9.933333333333334,30.0,"(720, 1280)",0.56,15.07,61.653860210983304,dataset_pose\Trong nhà - Indoor\band_8_10\50.npy,298,"(298, 33, 4)"
